id_contract,source,target,weight,weight_scale
563114-2020, Bechtle Brussels NV, Bechtle Brussels NV,69564.0,1
542061-2020, CAE Aviation, CAE Aviation,3750000.0,8
542061-2020, DEA Aviation, DEA Aviation,3750000.0,8
520760-2020, Cambridge School of English Sp. z o.o., Cambridge School of English Sp. z o.o.,424000.0,2
520760-2020, Cambridge School of English Sp. z o.o., Cambridge School of English Sp. z o.o.,76000.0,1
492276-2020, DSV Air and Sea Sp.Zo.o, Pol-Mare Sp.Zo.o,1000000.0,3
492276-2020, DSV Air and Sea Sp.Zo.o, Maxi Cargo Sp.Zo.o,1000000.0,3
492276-2020, Pol-Mare Sp.Zo.o, Maxi Cargo Sp.Zo.o,1000000.0,3
473318-2020, Sicurtransport, Sicurtransport,672067.2,2
473315-2020, Airbus DS Airborne Solutions GmbH, Elbit Systems Ltd,50000000.0,100
473315-2020, Airbus DS Airborne Solutions GmbH, Advanced Technology Center,50000000.0,100
473315-2020, Elbit Systems Ltd, Advanced Technology Center,50000000.0,100
200085-2020, Air Charter Service GmbH, AS Aircontact,10000000.0,21
200085-2020, Air Charter Service GmbH, Air Partner International GmbH,10000000.0,21
200085-2020, Air Charter Service GmbH, Professional Aviation Solutions GmbH,10000000.0,21
200085-2020, AS Aircontact, Air Partner International GmbH,10000000.0,21
200085-2020, AS Aircontact, Professional Aviation Solutions GmbH,10000000.0,21
200085-2020, Air Partner International GmbH, Professional Aviation Solutions GmbH,10000000.0,21
175550-2020, Korporacja Wschód Sp. z o.o., Optix SA,12000000.0,25
162977-2020, International SOS (Belgium) SPRL, International SOS (Belgium) SPRL,1350000.0,4
127371-2020, Dat-Con d.o.o., Opticoelectron Group JSCo,8000000.0,17
125034-2020, Opticoelectron Group JSCo, Dat-Con d.o.o.,8000000.0,17
086445-2020, The Bridge – English Language Centre s.r.o., The Bridge – English Language Centre s.r.o.,200000.0,1
078764-2020, Centro Informazione e Educazione Allo Sviluppo Onlus, Seprotec Traduccion e Intepretacion Sociedad Limitada,25000000.0,50
078764-2020, Centro Informazione e Educazione Allo Sviluppo Onlus, ITC — Interpreti e Traduttori in Cooperativa Societa' Cooperativa,25000000.0,50
078764-2020, Centro Informazione e Educazione Allo Sviluppo Onlus, Solten France Societe a Responsabilite Limitee,25000000.0,50
078764-2020, Centro Informazione e Educazione Allo Sviluppo Onlus, Synergasia Cooperativa Sociale Onlus,25000000.0,50
078764-2020, Centro Informazione e Educazione Allo Sviluppo Onlus, Pinpoint Corporate Services Ltd,25000000.0,50
078764-2020, Seprotec Traduccion e Intepretacion Sociedad Limitada, ITC — Interpreti e Traduttori in Cooperativa Societa' Cooperativa,25000000.0,50
078764-2020, Seprotec Traduccion e Intepretacion Sociedad Limitada, Solten France Societe a Responsabilite Limitee,25000000.0,50
078764-2020, Seprotec Traduccion e Intepretacion Sociedad Limitada, Synergasia Cooperativa Sociale Onlus,25000000.0,50
078764-2020, Seprotec Traduccion e Intepretacion Sociedad Limitada, Pinpoint Corporate Services Ltd,25000000.0,50
078764-2020, ITC — Interpreti e Traduttori in Cooperativa Societa' Cooperativa, Solten France Societe a Responsabilite Limitee,25000000.0,50
078764-2020, ITC — Interpreti e Traduttori in Cooperativa Societa' Cooperativa, Synergasia Cooperativa Sociale Onlus,25000000.0,50
078764-2020, ITC — Interpreti e Traduttori in Cooperativa Societa' Cooperativa, Pinpoint Corporate Services Ltd,25000000.0,50
078764-2020, Solten France Societe a Responsabilite Limitee, Synergasia Cooperativa Sociale Onlus,25000000.0,50
078764-2020, Solten France Societe a Responsabilite Limitee, Pinpoint Corporate Services Ltd,25000000.0,50
078764-2020, Synergasia Cooperativa Sociale Onlus, Pinpoint Corporate Services Ltd,25000000.0,50
074109-2020, EDISOFT-Empresa de Servicos e Desenvolvimento de Software, S.A.,253000.0,2
050127-2020, CAE Aviation, DEA Aviation,6750000.0,14
050127-2020, CAE Aviation, EASP Air BV,6750000.0,14
050127-2020, DEA Aviation, EASP Air BV,6750000.0,14
611288-2019, Opticoelectron Group JSCo, Opticoelectron Group JSCo,4000000.0,9
611273-2019, Instytut Systemów Bezpieczeństwa Sp. z o.o., ClanTect Ltd,400000.0,2
599045-2019, Hawkeye 360, Inc.,1507005.0,4
550867-2019, Brill AV Media Sp z oo, Brill AV Media Sp z oo,220000.0,1
550866-2019, Lazaris A. Gomos D. OE, Lazaris A. Gomos D. OE,1640000.0,4
514676-2019, Softwin SRL, Intrasoft International S.A.,800000.0,3
514676-2019, Softwin SRL, Pecka Studio s.r.o.,800000.0,3
514676-2019, Intrasoft International S.A., Pecka Studio s.r.o.,800000.0,3
501017-2019, Kaliszuk sp j staff partners, Outworking SA,5000000.0,11
501017-2019, Kaliszuk sp j staff partners, Grafton Recruitment Sp z oo,5000000.0,11
501017-2019, Kaliszuk sp j staff partners, GI Group Sp z oo,5000000.0,11
501017-2019, Outworking SA, Grafton Recruitment Sp z oo,5000000.0,11
501017-2019, Outworking SA, GI Group Sp z oo,5000000.0,11
501017-2019, Grafton Recruitment Sp z oo, GI Group Sp z oo,5000000.0,11
487436-2019, TEKNE Srl, TEKNE Srl,2000000.0,5
442054-2019, GTC AMG sp. z o.o., GTC AMG sp. z o.o.,700000.0,2
414489-2019, Nord Partner sp. z o.o., Nord Partner sp. z o.o.,200000.0,1
350772-2019, ESRI Polska, ESRI Polska,229719.63,1
338734-2019, CAE Aviation, DEA Aviation Ltd,2250000.0,5
338734-2019, CAE Aviation, Airborne Technologies GmbH,2250000.0,5
338734-2019, CAE Aviation, Fly4Less Kft,2250000.0,5
338734-2019, DEA Aviation Ltd, Airborne Technologies GmbH,2250000.0,5
338734-2019, DEA Aviation Ltd, Fly4Less Kft,2250000.0,5
338734-2019, Airborne Technologies GmbH, Fly4Less Kft,2250000.0,5
338734-2019, CAE Aviation, DEA Aviation,6050000.0,13
338734-2019, CAE Aviation, EASP Air BV,6050000.0,13
338734-2019, DEA Aviation, EASP Air BV,6050000.0,13
338734-2019, CAE Aviation, DEA Aviation,7200000.0,15
338734-2019, CAE Aviation, EASP Air BV,7200000.0,15
338734-2019, DEA Aviation, EASP Air BV,7200000.0,15
338734-2019, CAE Aviation, DEA Aviation,13500000.0,28
338734-2019, CAE Aviation, EASP Air BV,13500000.0,28
338734-2019, DEA Aviation, EASP Air BV,13500000.0,28
304351-2019, eTravel SA, eTravel SA,20000000.0,41
176811-2019, Defacto Sp z oo, Defacto Sp z oo,6000000.0,13
132816-2019, CAE Aviation, DEA Aviation Ltd,1500000.0,4
132816-2019, CAE Aviation, Airborne Technologies GmbH,1500000.0,4
132816-2019, CAE Aviation, Fly4Less Kft,1500000.0,4
132816-2019, DEA Aviation Ltd, Airborne Technologies GmbH,1500000.0,4
132816-2019, DEA Aviation Ltd, Fly4Less Kft,1500000.0,4
132816-2019, Airborne Technologies GmbH, Fly4Less Kft,1500000.0,4
132816-2019, CAE Aviation, DEA Aviation Ltd,2500000.0,6
132816-2019, CAE Aviation, DEA Aviation,4300000.0,10
132816-2019, CAE Aviation, EASP Air BV,4300000.0,10
132816-2019, DEA Aviation, EASP Air BV,4300000.0,10
132816-2019, CAE Aviation, DEA Aviation,5200000.0,11
132816-2019, CAE Aviation, EASP Air BV,5200000.0,11
132816-2019, DEA Aviation, EASP Air BV,5200000.0,11
132816-2019, CAE Aviation, DEA Aviation,9000000.0,19
132816-2019, CAE Aviation, EASP Air BV,9000000.0,19
132816-2019, DEA Aviation, EASP Air BV,9000000.0,19
132816-2019, CAE Aviation, DEA Aviation,4500000.0,10
132816-2019, CAE Aviation, EASP Air BV,4500000.0,10
132816-2019, DEA Aviation, EASP Air BV,4500000.0,10
125845-2019, Air Charter Service Ltd, AS Aircontact,3000000.0,7
120796-2019, eTravel SA, eTravel SA,30000000.0,60
075773-2019, Car Master 2 Sp. z o.o. Sp.k, Car Master 2 Sp. z o.o. Sp.k,1000000.0,3
054218-2019, Carmenta AB, Carmenta AB,109490.0,1
041988-2019, SAS Institute Polska Sp. z o.o., SAS Institute Polska Sp. z o.o.,1350000.0,4
022827-2019, IN-innovative navigation GmbH, IN-innovative navigation GmbH,481600.0,2
022826-2019, Andree Group Andrzej Toffel, Decuatro Marketing Promocional S.L.,200000.0,1
022826-2019, Andree Group Andrzej Toffel, IGEP SA/NV,200000.0,1
022826-2019, Decuatro Marketing Promocional S.L., IGEP SA/NV,200000.0,1
022825-2019, DC System Company Sp z oo, DC System Company Sp z oo,1200000.0,3
022824-2019, Asseco Poland SA, Asseco Poland SA,8000000.0,17
022823-2019, Ricardo Nederland BV, Ricardo-AEA Ltd,349779.18,2
536410-2018, Fleischhacker GmbH and Co. KG, Fleischhacker GmbH and Co. KG,180000.0,1
531568-2018, Art’ Impression Catering Sp. z o.o., Art’ Impression Catering Sp. z o.o.,1999800.0,5
509257-2018, Car Master 2 sp. z o.o. sp.k., Car Master 2 sp. z o.o. sp.k.,1000000.0,3
502706-2018, Pomilio Blumm SRL, Pomilio Blumm SRL,12000000.0,25
473919-2018, Jarosław Sztobryn Prooffice, Jarosław Sztobryn Prooffice,720000.0,2
453471-2018, Regula Baltija Ltd, Regula Baltija Ltd,1000000.0,3
453471-2018, Regula Baltija Ltd, Regula Baltija Ltd,800000.0,3
391665-2018, GMV Aerospace and Defence SAU, GMV Aerospace and Defence SAU,12000000.0,25
281156-2018, ZRB Walko Waldemar Koński, ZRB Walko Waldemar Koński,200000.0,1
281152-2018, Opticoelectron Group JSCo, Opticoelectron Group JSCo,250000.0,1
249435-2018, Windward Ltd, Windward Ltd,783000.0,3
192608-2018, Bene Warszawa Sp ZOO, Bene Warszawa Sp ZOO,4500000.0,10
