source,target,weight_scale
 Intrasoft International SA, Intrasoft International SA,62
Atos,Atos,62
European Dynamics,European Dynamics,62
Sopra Steria, Everis Belgique SPRL,62
 ARHS Developments SA , Sword Technologies SA,62
 365JP OÜ, 365JP OÜ,1
Idemia,Sopra Steria,100
 Unisys Belgium SA, PwC EU Services EESV,5
 Unisys Belgium SA, UniSystems Information Technology Systems Commercial SMSA,5
 PwC EU Services EESV, UniSystems Information Technology Systems Commercial SMSA,5
Infeurope SA,Infeurope SA,3
 Civitta Eesti AS, Advokaadiburoo Sorainen AS,3
 Vector Synergy Spolka z Ograniczona Odpowiedzianoscia, Vector Synergy Spolka z Ograniczona Odpowiedzianoscia,3
 Unisys Belgium SA, PwC EU Services EESV,16
 Unisys Belgium SA, UniSystems Information Technology Systems Commercial SMSA,16
 PwC EU Services EESV, UniSystems Information Technology Systems Commercial SMSA,16
 CGITI Portugal SA, CGITI Portugal SA,16
 Engineering Ingegneria Informatica S.p.A., Engineering Ingegneria Informatica S.p.A.,16
Infeurope SA,Infeurope SA,5
 Civitta Eesti AS, Advokaadiburoo Sorainen AS,5
 Vector Synergy Spolka z Ograniczona Odpowiedzianoscia, Vector Synergy Spolka z Ograniczona Odpowiedzianoscia,5
Infeurope SA,Infeurope SA,2
ELIN GmbH,ELIN GmbH,2
 Qvalitas Arstikeskus AS, Qvalitas Arstikeskus AS,1
 SPIE Facilities, SPIE Facilities,2
 ES Energies Strasbourg, ES Energies Strasbourg,1
 Securitas France Sarl, Securitas France Sarl,2
AS G4S Eesti,AS G4S Eesti,2
Axima Concept SA,Axima Concept SA,1
3M Belgium BVBA, Atos,47
3M Belgium BVBA,Leonardo,47
 Atos,Leonardo,47
 Majencia S.A., Majencia S.A.,2
AS G4S Eesti,AS G4S Eesti,1
 Pomilio Blumm Srl, Pomilio Blumm Srl,1
 Adria Congrex Srl, Baltic Tours Ltd,6
 ProPager SARL , North East West South NEWS Travel SA,6
 Pomilio Blumm Srl, Pomilio Blumm Srl,6
 T and T Executive SA, Company for trade and services Congress Service Center Vesna and dr. Ltd Skopje Congress Service Center,2
 T and T Executive SA, Business trade and services company Congress Travel Service DOO Skopje Congress Travel Service DOO Skopje,2
 Company for trade and services Congress Service Center Vesna and dr. Ltd Skopje Congress Service Center, Business trade and services company Congress Travel Service DOO Skopje Congress Travel Service DOO Skopje,2
Sopra Steria,Sopra Steria,27
 Standard AS, Standard AS,1
Sopra Steria,Bull,8
Sopra Steria,3M Belgium BVBA,8
Sopra Steria,Sopra Steria,8
Sopra Steria,Bull,8
Sopra Steria,3M Belgium BVBA,8
Bull,3M Belgium BVBA,8
Bull,Sopra Steria,8
Bull,Bull,8
Bull,3M Belgium BVBA,8
3M Belgium BVBA,Sopra Steria,8
3M Belgium BVBA,Bull,8
3M Belgium BVBA,3M Belgium BVBA,8
Sopra Steria,Bull,8
Sopra Steria,3M Belgium BVBA,8
Bull,3M Belgium BVBA,8
Propager SARL, North East West South NEWS Travel SA,3
 Everis Spain SLU succursale en Belgique, Everis Spain SLU succursale en Belgique,14
Accenture, Atos,65
Accenture, Morpho,65
 Atos, Morpho,65
Sopra Steria,Bull,3
Sopra Steria, Gemalto Cogent,3
Bull, Gemalto Cogent,3
Accenture, Atos,1
Accenture, Morpho,1
 Atos, Morpho,1
 Everesta Sro, Everesta Sro,2
Accenture, Atos,2
Accenture, Morpho,2
 Atos, Morpho,2
Accenture, Atos,1
Accenture, Morpho,1
 Atos, Morpho,1
U2 Consortium Unisys SA (group leader) and UniSystems Information Technology Systems Commercial SA,U2 Consortium Unisys SA (group leader) and UniSystems Information Technology Systems Commercial SA,9
Accenture, Altran Technologies SA,9
Bull, Atos Integration SAS,9
Bull, Ernst & Young et Associés,9
 Atos Integration SAS, Ernst & Young et Associés,9
Accenture, Tieto Estonia AS,8
U2 Consortium Unisys SA (group leader) and UniSystems Information Technology Systems Commercial SA,U2 Consortium Unisys SA (group leader) and UniSystems Information Technology Systems Commercial SA,8
 Everis Spain SLU succursale en Belgique , Deloitte Consulting CVBA,8
 Everis Spain SLU succursale en Belgique , AS CGI Eesti,8
 Deloitte Consulting CVBA, AS CGI Eesti,8
 infeurope SA, infeurope SA,2
 ManpowerGroup Solutions Belgium SA, ManpowerGroup Solutions Belgium SA,2
 ManpowerGroup Solutions Belgium SA, ManpowerGroup Solutions Belgium SA,3
 Civitta Eesti AS , Innopolis Insenerid OÜ,3
 Civitta Eesti AS , Civitta UAB,3
 Innopolis Insenerid OÜ, Civitta UAB,3
ELIN GmbH,ELIN GmbH,1
Propager SARL, North East West South NEWS Travel SA,1
Accenture, Atos,9
Accenture, Morpho,9
 Atos, Morpho,9
Sopra Steria,Bull,3
Sopra Steria, Gemalto Cogent,3
Bull, Gemalto Cogent,3
Axima Concept SA,Axima Concept SA,1
3M Belgium BVBA,Accenture,17
3M Belgium BVBA,Hewlett Packard Belgium BVBA/SPRL ,17
Accenture,Hewlett Packard Belgium BVBA/SPRL ,17
 Securitas France SARL, AS G4S Eesti,2
 Ingeniería de Sistemas para la Defensa de España SA, Ingeniería de Sistemas para la Defensa de España SA,1
 GMV Aerospace and Defence S.A.U., GMV Aerospace and Defence S.A.U.,5
 MeteoGroup Polska Sp. z o.o., MeteoGroup Polska Sp. z o.o.,1
 Events Center Creative Agency Krzysztof Koczur, Events Center Creative Agency Krzysztof Koczur,1
 Belvedere — Cafe Łazienki Królewskie Sp. z o.o., Belvedere — Cafe Łazienki Królewskie Sp. z o.o.,1
 Events Center Creative Agency Koczur Krzysztof, Events Center Creative Agency Koczur Krzysztof,1
 Events Center Creative Agency Koczur Krzysztof, Events Center Creative Agency Koczur Krzysztof,1
 Ever Grupa Sp. z o.o., Ever Grupa Sp. z o.o.,1
 Atos IT Solutions and Services Iberia S.L., Atos IT Solutions and Services Iberia S.L.,1
