source,target,weight_scale
Accenture, Atos,2
Accenture, Morpho,2
 Atos, Morpho,2
Accenture, Atos,1
Accenture, Morpho,1
 Atos, Morpho,1
U2 Consortium Unisys SA (group leader) and UniSystems Information Technology Systems Commercial SA,U2 Consortium Unisys SA (group leader) and UniSystems Information Technology Systems Commercial SA,7
Accenture, Altran Technologies SA,7
Bull, Atos Integration SAS,7
Bull, Ernst & Young et Associés,7
 Atos Integration SAS, Ernst & Young et Associés,7
Accenture, Tieto Estonia AS,6
U2 Consortium Unisys SA (group leader) and UniSystems Information Technology Systems Commercial SA,U2 Consortium Unisys SA (group leader) and UniSystems Information Technology Systems Commercial SA,6
 Everis Spain SLU succursale en Belgique , Deloitte Consulting CVBA,6
 Everis Spain SLU succursale en Belgique , AS CGI Eesti,6
 Deloitte Consulting CVBA, AS CGI Eesti,6
 infeurope SA, infeurope SA,2
 ManpowerGroup Solutions Belgium SA, ManpowerGroup Solutions Belgium SA,2
 ManpowerGroup Solutions Belgium SA, ManpowerGroup Solutions Belgium SA,2
 Civitta Eesti AS , Innopolis Insenerid OÜ,2
 Civitta Eesti AS , Civitta UAB,2
 Innopolis Insenerid OÜ, Civitta UAB,2
ELIN GmbH,ELIN GmbH,1
Propager SARL, North East West South NEWS Travel SA,1
Accenture, Atos,6
Accenture, Morpho,6
 Atos, Morpho,6
Sopra Steria,Bull,3
Sopra Steria, Gemalto Cogent,3
Bull, Gemalto Cogent,3
Axima Concept SA,Axima Concept SA,1
3M Belgium BVBA,Accenture,12
3M Belgium BVBA,Hewlett Packard Belgium BVBA/SPRL ,12
Accenture,Hewlett Packard Belgium BVBA/SPRL ,12
 Securitas France SARL, AS G4S Eesti,2
 Qvalitas Arstikeskus AS, Qvalitas Arstikeskus AS,1
 SPIE Facilities, SPIE Facilities,2
 ES Energies Strasbourg, ES Energies Strasbourg,1
 Securitas France Sarl, Securitas France Sarl,2
AS G4S Eesti,AS G4S Eesti,1
Axima Concept SA,Axima Concept SA,1
3M Belgium BVBA, Atos,33
3M Belgium BVBA,Leonardo,33
 Atos,Leonardo,33
 Majencia S.A., Majencia S.A.,2
AS G4S Eesti,AS G4S Eesti,1
 Pomilio Blumm Srl, Pomilio Blumm Srl,1
 Adria Congrex Srl, Baltic Tours Ltd,4
 ProPager SARL , North East West South NEWS Travel SA,4
 Pomilio Blumm Srl, Pomilio Blumm Srl,4
 T and T Executive SA, Company for trade and services Congress Service Center Vesna and dr. Ltd Skopje Congress Service Center,2
 T and T Executive SA, Business trade and services company Congress Travel Service DOO Skopje Congress Travel Service DOO Skopje,2
 Company for trade and services Congress Service Center Vesna and dr. Ltd Skopje Congress Service Center, Business trade and services company Congress Travel Service DOO Skopje Congress Travel Service DOO Skopje,2
Sopra Steria,Sopra Steria,19
 Standard AS, Standard AS,1
Sopra Steria,Bull,6
Sopra Steria,3M Belgium BVBA,6
Sopra Steria,Sopra Steria,6
Sopra Steria,Bull,6
Sopra Steria,3M Belgium BVBA,6
Bull,3M Belgium BVBA,6
Bull,Sopra Steria,6
Bull,Bull,6
Bull,3M Belgium BVBA,6
3M Belgium BVBA,Sopra Steria,6
3M Belgium BVBA,Bull,6
3M Belgium BVBA,3M Belgium BVBA,6
Sopra Steria,Bull,6
Sopra Steria,3M Belgium BVBA,6
Bull,3M Belgium BVBA,6
Propager SARL, North East West South NEWS Travel SA,2
 Everis Spain SLU succursale en Belgique, Everis Spain SLU succursale en Belgique,10
Accenture, Atos,45
Accenture, Morpho,45
 Atos, Morpho,45
Sopra Steria,Bull,2
Sopra Steria, Gemalto Cogent,2
Bull, Gemalto Cogent,2
Accenture, Atos,1
Accenture, Morpho,1
 Atos, Morpho,1
 Everesta Sro, Everesta Sro,1
 Alsacafe Automates, Alsacafe Automates,1
 LK – Voyages Lucien Kunegel, LK – Voyages Lucien Kunegel,1
 Scop Espaces Verts, Scop Espaces Verts,1
 Indra Soluciones Tecnologías de la Información S. L. U , I.R.I.S. Solutions & Experts S.A.,41
 CGI France SAS, CGI France SAS,41
 ONET Services, ONET Services,1
 ERGO Insurance SE, ERGO Insurance SE,1
Sopra Steria,Sopra Steria,10
 AXIMA Concept (commercial name: ENGIE Solutions S.A.), AXIMA Concept (commercial name: ENGIE Solutions S.A.),3
 AS Infotark, AS Infotark,1
 Lyreco France SAS, Lyreco France SAS,1
 Unisys Belgium NV/SA, Unisystems Luxembourg SARL,42
 Unisys Belgium NV/SA, Wavestone SA,42
 Unisystems Luxembourg SARL, Wavestone SA,42
 International Business Machines of Belgium SA, Leonardo SPA,42
Accenture,Accenture,42
 Everis Belgique SPRL  of Ecos Consortium, Cancom On Line BV,100
