,id,year,contracting_authority_official_name,contracting_authority_country,contracting_authority_nut,contracting_authority_main_activity,object_title,object_type,object_description,object_total_value,cpv,award_criteria,procedure_type,url,object_total_value_clean,tenders,group_economic_operator,subcontracting,contractors,contractors_countries,contractors_total_value,award_of_contracts_address,award_of_contracts_town,group_economic_operator_boolean,subcontracting_boolean,contractors_total_value_clean,contractors_clean,VIS,Eurodac,SIS I,SIS II,Entry Exit System,cpv_clean
0,543126-2021,2021,"European Agency for the Operational Management of Large-Scale IT Systems in the Area of Freedom, Security and Justice (eu-LISA)",France,FRF11 Bas-Rhin,General public services,"Provision of Canteen, Catering and other Associated Services at eu-LISA’s Premises in Strasbourg, France",Services,,500 000.00 EUR,55500000 Canteen and catering services,Price,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:543126-2021:TEXT:EN:HTML&src=0,500000.0,4,no,NA,[' Alsacafe Automates'],[' France'],500 000.00 EUR,[' 7 rue de la Forêt Noire'],[' Weyersheim'],1,False,500000.0, Alsacafe Automates,False,False,False,False,False,
1,543125-2021,2021,"European Agency for the Operational Management of Large-Scale IT Systems in the Area of Freedom, Security and Justice (eu-LISA)",France,FRF11 Bas-Rhin,General public services,"Provision of Shuttle Services for Transfers of Passengers between eu-LISA's sites in Strasbourg, France",Services,,756 800.00 EUR,60130000 Special-purpose road passenger-transport services,Quality criterion - Name: Quality / Weighting: 60,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:543125-2021:TEXT:EN:HTML&src=0,756800.0,1,no,NA,[' LK – Voyages Lucien Kunegel'],[' France'],756 800.00 EUR,NA,[' Colmar'],1,False,756800.0, LK – Voyages Lucien Kunegel,False,False,False,False,False,
2,432217-2021,2021,"European Agency for the Operational Management of Large-Scale IT Systems in the Area of Freedom, Security and Justice (eu-LISA)",France,FRF11 Bas-Rhin,General public services,"Cleaning and Gardening Services for eu-LISA premises in Strasbourg, France",Services,,350 000.00 EUR,90919200 Office cleaning services,Price,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:432217-2021:TEXT:EN:HTML&src=0,350000.0,2,no,The contract is likely to be subcontracted,[' Scop Espaces Verts'],[' France'],350 000.00 EUR,[' 23 rue du Tramway'],[' Eschau'],1,True,350000.0, Scop Espaces Verts,False,False,False,False,False,
3,403569-2021,2021,"European Agency for the Operational Management of Large-Scale IT Systems in the Area of Freedom, Security and Justice (eu-LISA)",France,FR France,General public services,Transversal Engineering Framework (TEF),Services,,180 000 000.00 EUR,"72000000 IT services: consulting, software development, Internet and support",Quality criterion - Name: Quality / Weighting: 70,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:403569-2021:TEXT:EN:HTML&src=0,180000000.0,2,yes,The contract is likely to be subcontracted,"[' Indra Soluciones Tecnologías de la Información S. L. U (Group leader)', ' I.R.I.S. Solutions & Experts S.A.']","[' Spain', ' Belgium']",180 000 000.00 EUR,"[' Avenida de Bruselas 35', ' Rue du Bosquet 10']","[' Alcobendas', ' Mont‐Saint‐Guibert']",2,True,180000000.0," Indra Soluciones Tecnologías de la Información S. L. U (Group leader), I.R.I.S. Solutions & Experts S.A.",False,False,False,False,False,IT services
4,403569-2021,2021,"European Agency for the Operational Management of Large-Scale IT Systems in the Area of Freedom, Security and Justice (eu-LISA)",France,FR France,General public services,Transversal Engineering Framework (TEF),Services,,180 000 000.00 EUR,"72000000 IT services: consulting, software development, Internet and support",Quality criterion - Name: Quality / Weighting: 70,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:403569-2021:TEXT:EN:HTML&src=0,180000000.0,2,no,The contract is likely to be subcontracted,[' CGI France SAS'],[' France'],180 000 000.00 EUR,[' 17 Place des Reflets'],[' Courbevoie'],1,True,180000000.0, CGI France SAS,False,False,False,False,False,IT services
5,384529-2021,2021,"European Agency for the Operational Management of Large-Scale IT Systems in the Area of Freedom, Security and Justice (eu-LISA)",France,FRF11 Bas-Rhin,General public services,"Cleaning and Gardening Services for eu-LISA Premises in Strasbourg, France",Services,,1 130 000.00 EUR,90919200 Office cleaning services,Quality criterion - Name: Quality of the team organisation and continuity of services / Weighting: 25,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:384529-2021:TEXT:EN:HTML&src=0,1130000.0,3,no,NA,[' ONET Services'],[' France'],1 130 000.00 EUR,"["" 36 Boulevard de l'Ocean""]",[' Marseille'],1,False,1130000.0, ONET Services,False,False,False,False,False,
6,358246-2021,2021,"European Agency for the Operational Management of Large-Scale IT Systems in the Area of Freedom, Security and Justice (eu-LISA)",Estonia,EE Eesti,General public services,"Provision of Insurance Services for eu-LISA's Operational Site in Strasbourg, France",Services,,325 000.00 EUR,66510000 Insurance services,Price,Award of a contract without prior publication of a call for competition in the Official Journal of the European Union in the cases listed below,https://ted.europa.eu/udl?uri=TED:NOTICE:358246-2021:TEXT:EN:HTML&src=0,325000.0,1,no,NA,[' ERGO Insurance SE'],[' Estonia'],325 000.00 EUR,[' A. H. Tammsaare tee 47'],[' Tallinn'],1,False,325000.0, ERGO Insurance SE,False,False,False,False,False,
7,278072-2021,2021,"European Agency for the Operational Management of Large-Scale IT Systems in the Area of Freedom, Security and Justice (eu-LISA)",Estonia,EE Eesti,General public services,LISA-2021-NP-07 (FWC LISA/2017/RP/01 Maintenance in Working Order of the Schengen Information System),Services,,40 000 000.00 EUR,"72000000 IT services: consulting, software development, Internet and support",Quality criterion - Name: All criteria are stated only in the procurement documents of the procedure ref. LISA/2017/RP/01 / Weighting: 60,Award of a contract without prior publication of a call for competition in the Official Journal of the European Union in the cases listed below,https://ted.europa.eu/udl?uri=TED:NOTICE:278072-2021:TEXT:EN:HTML&src=0,40000000.0,1,no,The contract is likely to be subcontracted,[' Sopra Steria Benelux SA/NV'],[' Belgium'],40 000 000.00 EUR,NA,[' Brussels'],1,True,40000000.0, Sopra Steria Benelux SA/NV,False,False,False,False,False,IT services
8,145408-2021,2021,"European Union Agency for the operational management of large-scale IT systems in the area of freedom, security and justice (eu-LISA)",France,FR France,General public services,Building Maintenance Services for eu-LISA Premises in Strasbourg,Services,,7 000 000.00 EUR,50000000 Repair and maintenance services,Quality criterion - Name: As per tender specifications / Weighting: 60,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:145408-2021:TEXT:EN:HTML&src=0,7000000.0,1,no,The contract is likely to be subcontracted,[' AXIMA Concept (commercial name: ENGIE Solutions S.A.)'],[' France'],7 000 000.00 EUR,NA,[' Paris'],1,True,7000000.0, AXIMA Concept (commercial name: ENGIE Solutions S.A.),False,False,False,False,False,
9,070753-2021,2021,"European Union Agency for the operational management of large-scale IT systems in the area of freedom, security and justice (eu-LISA)",Estonia,EE EESTI,General public services,Provision of Office Supplies for eu-LISA,Supplies,,500 000.00 EUR,30192000 Office supplies,"Quality criterion - Name: Assortment and quality of products; ordering, delivery and transportation; customer service / Weighting: 0.6",Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:070753-2021:TEXT:EN:HTML&src=0,500000.0,1,no,,[' AS Infotark'],[' Estonia'],200 000.00 EUR,[' Peterburi tee 92E'],[' Tallinn'],1,False,200000.0, AS Infotark,False,False,False,False,False,
