contractors_clean,value_contracts_sum,number_contracts,latitude,longitude,address
365JP OÜ,127060,1,59.295348,24.658251,"Lauliku 8-8, Saku Alevik, Estonia"
3M Belgium BVBA,27916145.5,2,50.8799601,4.4370613,"Hermeslaan 7, Diegem, Belgium"
Accenture NV/SA,271786039.02,8,50.838198,4.359761,"boulevard de Waterloo 16, Brussels, Belgium"
Adria Congrex Srl,14500000,1,43.9474799,12.145727,"Rimini, Italy"
Advokaadiburoo Sorainen AS,19098316,2,59.401347,24.693912,"Tallinn, Estonia"
ARHS Developments SA,187000000,1,49.502982,5.942713,"13 Boulevard du Jazz, Belvaux, Luxembourg"
AS G4S Eesti,6398268,3,59.429838,24.683664,"Paldiski MNT 80, Tallinn, Estonia"
Atos Belgium NV,573501690,4,50.8884668,4.4567585,"DA Vincilaan 5, Zaventem, Belgium"
Axima Concept,1600000,2,48.889643,2.236417,"Tour Voltaire 1, place des Degrés, Paris, France"
Baltic Tours Ltd,14500000,1,59.401347,24.693912,"Tallinn, Estonia"
Bull SAS,53579238.85,3,48.8296412,1.9812057,"68 rue Jean Jaures, Les Clayes sous Bois, France"
"Business, trade and services company Congress Travel Service DOO Skopje (Congress Travel Service DOO Skopje)",2500000,1,41.9991965,21.3548501,"Skopje, North Macedonia"
CGITI Portugal SA,44960400,1,38.748243,-9.140093,"Lisbon, Portugal"
Civitta Eesti AS,25013316,3,58.370749000000004,26.716412,"Riia 24a, Tartu, Estonia"
Company for trade and services Congress Service Center Vesna and dr. Ltd Skopje (Congress Service Center),2500000,1,41.9991965,21.3548501,"Skopje, North Macedonia"
ELIN GmbH,3000000,2,48.140764,16.342725,"Pfarrgasse 75, Wien, Austria"
Engineering Ingegneria Informatica S.p.A.,44960400,1,41.878243,12.52809,"Rome, Italy"
ES Energies Strasbourg,350000,1,48.570721,7.758374,"Strasbourg, France"
European Dynamics Belgium SA,187000000,1,50.842242,4.369068,"15, rue Belliard, Brussels, Belgium"
European Dynamics Luxembourg SA,187000000,1,49.640223,6.147724,"12, rue Jean Engling, Luxembourg, Luxembourg"
European Dynamics SA,187000000,1,38.0141175,23.7820465,"209, Kifissias Ave. & Arkadiou Str, Athens, Greece"
Everesta Sro,2000000,1,50.680556,14.537826,"Mimoňská 3223, Česká Lípa, Czechia"
Everis Belgique SPRL,187000000,1,50.845678,4.374042,"rue de SPA 8, Brussels, Belgium"
Everis Spain SLU succursale en Belgique,61451501.78,2,50.8413082,4.3825542,"avenue d'Auderghem 22–28, Brussels, Belgium"
IBM Belgium BVBA,142051690,1,50.87813,4.431895,"42 avenue du Bourget, Brussels, Belgium"
Idemia Identity & Security SAS,302550000,1,48.8961949,2.2375344,"2, place Samuel de Champlain, Courbevoie, France"
imc information multimedia communication AG,2500000,1,49.234378,6.978198,"Saarbruecken, Germany"
Infeurope SA,25170432,4,49.601849,6.10424,"62, rue Charles Martel, Luxembourg, Luxembourg"
Intrasoft International SA,187000000,1,49.604894,6.086163,"2b, rue Nicolas Bové, Luxembourg, Luxembourg"
Leonardo S.p.a,142051690,1,41.8920738,12.4826556,"Piazza Monte Grappa n. 4, Rome, Italy"
Majencia S.A.,2500000,1,48.8454608,2.220492,"Espace Neoffice 24 a 24 bis 25 Quai Carnot, Saint Cloud, France"
ManpowerGroup Solutions Belgium SA,9487116,1,50.855199,4.42705,"avenue des Communautés 110, Brussels, Belgium"
Morpho SAS,194450000,1,48.8324963,2.2652857,"11 boulevard Gallieni, Issy-les-Moulineaux, France"
Mostra SA,1500000,1,50.795849,4.335047,"chaussée d'Alsemberg 1001, Brussels, Belgium"
North East West South (NEWS) Travel SA,19200000,2,48.859116,2.331839,"Paris, France"
Pomilio Blumm Srl,15400000,1,42.372003,13.947383,"Pescara, Italy"
ProPager SARL,20700000,3,48.839425,2.398807,"70 boulevard de Reuilly, Paris, France"
PwC EU Services EESV,56962000,2,50.870682,4.460571,"Sint-Stevens-Woluwe, Belgium"
Qvalitas Arstikeskus AS,200000,1,59.401347,24.693912,"Tallinn, Estonia"
Securitas France SARL,6898268,2,48.8219096,2.249328,"253 quai de la Bataille de Stalingrad, Issy-Les-Moulineux, France"
Sopra Steria Benelux SA/NV,604954007.15,6,50.8172238,4.394008,"15/23 Avenue Arnaud Fraiteur, Brussels, Belgium"
SPIE Facilities,3500000,1,48.91761,2.342551,"1/3 Place de la Berline, Saint-Denis Cedex, France"
Standard AS,1000000,1,59.424145,24.692768,"Marja 9, Tallinn, Estonia"
Sword Technologies SA,187000000,1,49.647215,5.964766,"2 rue d'Arlon, Windhof, Luxembourg"
T and T Executive SA,2500000,1,38.045542,23.7864892,"Marousi, Athens, Greece"
Unisys Belgium SA,104076595,3,50.892682,4.437684,"Diegem, Belgium"
UniSystems Information Technology Systems Commercial SMSA,56962000,2,37.988579,23.728541,"Athens, Greece"
Vector Synergy Spolka z Ograniczona Odpowiedzianoscia,19098316,2,52.396172,16.916073,"Poznan, Poland"
