source,target,weight_scale
 Bechtle Brussels NV, Bechtle Brussels NV,1
 CAE Aviation, CAE Aviation,8
 DEA Aviation, DEA Aviation,8
 Cambridge School of English Sp. z o.o., Cambridge School of English Sp. z o.o.,2
 Cambridge School of English Sp. z o.o., Cambridge School of English Sp. z o.o.,1
 DSV Air and Sea Sp.Zo.o, Pol-Mare Sp.Zo.o,3
 DSV Air and Sea Sp.Zo.o, Maxi Cargo Sp.Zo.o,3
 Pol-Mare Sp.Zo.o, Maxi Cargo Sp.Zo.o,3
 Sicurtransport, Sicurtransport,2
 Airbus DS Airborne Solutions GmbH, Elbit Systems Ltd,100
 Airbus DS Airborne Solutions GmbH, Advanced Technology Center,100
 Elbit Systems Ltd, Advanced Technology Center,100
 Air Charter Service GmbH, AS Aircontact,21
 Air Charter Service GmbH, Air Partner International GmbH,21
 Air Charter Service GmbH, Professional Aviation Solutions GmbH,21
 AS Aircontact, Air Partner International GmbH,21
 AS Aircontact, Professional Aviation Solutions GmbH,21
 Air Partner International GmbH, Professional Aviation Solutions GmbH,21
 Korporacja Wschód Sp. z o.o., Optix SA,25
 International SOS (Belgium) SPRL, International SOS (Belgium) SPRL,4
 Dat-Con d.o.o., Opticoelectron Group JSCo,17
 Opticoelectron Group JSCo, Dat-Con d.o.o.,17
 The Bridge – English Language Centre s.r.o., The Bridge – English Language Centre s.r.o.,1
 Centro Informazione e Educazione Allo Sviluppo Onlus, Centro Informazione e Educazione Allo Sviluppo Onlus,50
 EDISOFT-Empresa de Servicos e Desenvolvimento de Software, S.A.,1
 CAE Aviation, DEA Aviation,14
 CAE Aviation, EASP Air BV,14
 DEA Aviation, EASP Air BV,14
 Opticoelectron Group JSCo, Opticoelectron Group JSCo,9
 Instytut Systemów Bezpieczeństwa Sp. z o.o., ClanTect Ltd,2
 Hawkeye 360, Inc.,4
 Brill AV Media Sp z oo, Brill AV Media Sp z oo,1
 Lazaris A. Gomos D. OE, Lazaris A. Gomos D. OE,4
 Softwin SRL, Intrasoft International S.A.,2
 Softwin SRL, Pecka Studio s.r.o.,2
 Intrasoft International S.A., Pecka Studio s.r.o.,2
 Kaliszuk sp j staff partners, Outworking SA,11
 Kaliszuk sp j staff partners, Grafton Recruitment Sp z oo,11
 Kaliszuk sp j staff partners, GI Group Sp z oo,11
 Outworking SA, Grafton Recruitment Sp z oo,11
 Outworking SA, GI Group Sp z oo,11
 Grafton Recruitment Sp z oo, GI Group Sp z oo,11
 TEKNE Srl, TEKNE Srl,5
 GTC AMG sp. z o.o., GTC AMG sp. z o.o.,2
 Nord Partner sp. z o.o., Nord Partner sp. z o.o.,1
 ESRI Polska, ESRI Polska,1
 CAE Aviation, DEA Aviation Ltd,5
 CAE Aviation, Airborne Technologies GmbH,5
 CAE Aviation, Fly4Less Kft,5
 DEA Aviation Ltd, Airborne Technologies GmbH,5
 DEA Aviation Ltd, Fly4Less Kft,5
 Airborne Technologies GmbH, Fly4Less Kft,5
 CAE Aviation, DEA Aviation,13
 CAE Aviation, EASP Air BV,13
 DEA Aviation, EASP Air BV,13
 CAE Aviation, DEA Aviation,15
 CAE Aviation, EASP Air BV,15
 DEA Aviation, EASP Air BV,15
 CAE Aviation, DEA Aviation,28
 CAE Aviation, EASP Air BV,28
 DEA Aviation, EASP Air BV,28
 eTravel SA, eTravel SA,41
 Defacto Sp z oo, Defacto Sp z oo,13
 CAE Aviation, DEA Aviation Ltd,4
 CAE Aviation, Airborne Technologies GmbH,4
 CAE Aviation, Fly4Less Kft,4
 DEA Aviation Ltd, Airborne Technologies GmbH,4
 DEA Aviation Ltd, Fly4Less Kft,4
 Airborne Technologies GmbH, Fly4Less Kft,4
 CAE Aviation, DEA Aviation Ltd,6
 CAE Aviation, DEA Aviation,9
 CAE Aviation, EASP Air BV,9
 DEA Aviation, EASP Air BV,9
 CAE Aviation, DEA Aviation,11
 CAE Aviation, EASP Air BV,11
 DEA Aviation, EASP Air BV,11
 CAE Aviation, DEA Aviation,19
 CAE Aviation, EASP Air BV,19
 DEA Aviation, EASP Air BV,19
 CAE Aviation, DEA Aviation,10
 CAE Aviation, EASP Air BV,10
 DEA Aviation, EASP Air BV,10
 Air Charter Service Ltd, AS Aircontact,7
 eTravel SA, eTravel SA,60
 Car Master 2 Sp. z o.o. Sp.k, Car Master 2 Sp. z o.o. Sp.k,3
 Carmenta AB, Carmenta AB,1
 SAS Institute Polska Sp. z o.o., SAS Institute Polska Sp. z o.o.,4
 IN-innovative navigation GmbH, IN-innovative navigation GmbH,2
 Andree Group Andrzej Toffel, Decuatro Marketing Promocional S.L.,1
 Andree Group Andrzej Toffel, IGEP SA/NV,1
 Decuatro Marketing Promocional S.L., IGEP SA/NV,1
 DC System Company Sp z oo, DC System Company Sp z oo,3
 Asseco Poland SA, Asseco Poland SA,17
 Ricardo Nederland BV, Ricardo-AEA Ltd,2
 Fleischhacker GmbH and Co. KG, Fleischhacker GmbH and Co. KG,1
 Art’ Impression Catering Sp. z o.o., Art’ Impression Catering Sp. z o.o.,5
 Car Master 2 sp. z o.o. sp.k., Car Master 2 sp. z o.o. sp.k.,3
 Pomilio Blumm SRL, Pomilio Blumm SRL,25
 Jarosław Sztobryn Prooffice, Jarosław Sztobryn Prooffice,2
 Regula Baltija Ltd, Regula Baltija Ltd,3
 Regula Baltija Ltd, Regula Baltija Ltd,2
 GMV Aerospace and Defence SAU, GMV Aerospace and Defence SAU,25
 ZRB Walko Waldemar Koński, ZRB Walko Waldemar Koński,1
 Opticoelectron Group JSCo, Opticoelectron Group JSCo,1
 Windward Ltd, Windward Ltd,2
 Bene Warszawa Sp ZOO, Bene Warszawa Sp ZOO,10
 Espes Office Sp ZOO, Espes Office Sp ZOO,2
 Bene Warszawa Sp ZOO, Bene Warszawa Sp ZOO,1
 Diamond-Executive Aviation Ltd, Diamond-Executive Aviation Ltd,30
 CAE Aviation Sarl, CAE Aviation Sarl,30
 EASP Air BV, EASP Air BV,30
 Indra Sistemas SA, Indra Sistemas SA,30
 City & Guilds of London Institute, City & Guilds of London Institute,4
 Optexim AD, Optexim AD,1
 OPTIX JSC, OPTIX JSC,3
 Opticoelectron Group, Opticoelectron Group,2
 Opticoelectron Group, Opticoelectron Group,2
of Oktagon Polska Paweł Toffel, AndRee GROUP Andrzej Toffel,2
of Oktagon Polska Paweł Toffel, ADART S.C. led by Oktagon Polska Paweł Toffel,2
 AndRee GROUP Andrzej Toffel, ADART S.C. led by Oktagon Polska Paweł Toffel,2
 e-GEOS SPA, Telespazio France SAS,2
 Israel Aerospace Industries Limited, Malat Division,10
 Leonardo SPA, Leonardo SPA,4
 AS Aircontact, Air Charter Service Limited,37
 AS Aircontact, Air Charter Service Limited,5
 Control system FMN Sp z oo, Control system FMN Sp z oo,1
 Uni Business Centre BV, Nextis services s.r.o.,5
 Uni Business Centre BV, AutoCont CZ a.s.,5
 Uni Business Centre BV, Bechtle direct Polska sp z oo,5
 Nextis services s.r.o., AutoCont CZ a.s.,5
 Nextis services s.r.o., Bechtle direct Polska sp z oo,5
 AutoCont CZ a.s., Bechtle direct Polska sp z oo,5
 Profil nabytek as, Profil nabytek as,2
 Arch sc Mirosława Nowicka Marek Nowicki, Arch sc Mirosława Nowicka Marek Nowicki,1
 MeteoGroup Nederland B.V., MeteoGroup Nederland B.V.,7
 Dotsoft SA, Epsilon Malta Ltd,3
 Asseco Poland SA, ESRI Polska Sp. z o.o.,3
 GeneGIS GI Srl (former GESP Srl), GeneGIS GI Srl (former GESP Srl),3
 BATEX Technische Textilien GmbH, BATEX Technische Textilien GmbH,3
 Pentacomp Systemy Informatyczne S.A., Pentacomp Systemy Informatyczne S.A.,2
 Fabrity K2 Sp. z o.o., Fabrity K2 Sp. z o.o.,2
 Netcompany IT and Business Consulting A/S, Netcompany IT and Business Consulting A/S,2
 SAS Institute Polska Sp. z o.o., SAS Institute Polska Sp. z o.o.,5
 Sunrise Lines E.P.E. (Ltd), Sunrise Lines E.P.E. (Ltd),5
 Pantelopoulos Panagiotis, Pantelopoulos Panagiotis,3
 Samwell Limited, Samwell Limited,3
 InfoCert S.p.A., InfoCert S.p.A.,1
 Polkomtel Sp. z o.o., Polkomtel Sp. z o.o.,5
 GAF AG, GAF AG,1
 Netcompany IT and Business Consulting A/S, Netcompany IT and Business Consulting A/S,1
 Vagia Tzislaki — Lesvorama General Travel Agency, Vagia Tzislaki — Lesvorama General Travel Agency,1
 Vagia Tzislaki — Lesvorama General Travel Agency, Vagia Tzislaki — Lesvorama General Travel Agency,1
 Adria Congrex srl, Adria Congrex srl,13
 Microsoft Sp. z o.o., Microsoft Sp. z o.o.,1
 BoldBrick s.r.o., Fabrity K2 Sp. z o.o.,6
 BoldBrick s.r.o., IT-Dev Sp. z o.o.,6
 Fabrity K2 Sp. z o.o., IT-Dev Sp. z o.o.,6
 Netcompany IT and Business Consulting A/S, Netcompany IT and Business Consulting A/S,3
