source,target,weight_scale
 Ingeniería de Sistemas para la Defensa de España SA, Ingeniería de Sistemas para la Defensa de España SA,1
 GMV Aerospace and Defence S.A.U., GMV Aerospace and Defence S.A.U.,21
 MeteoGroup Polska Sp. z o.o., MeteoGroup Polska Sp. z o.o.,2
 Events Center Creative Agency Krzysztof Koczur, Events Center Creative Agency Krzysztof Koczur,1
 Belvedere — Cafe Łazienki Królewskie Sp. z o.o., Belvedere — Cafe Łazienki Królewskie Sp. z o.o.,1
 Events Center Creative Agency Koczur Krzysztof, Events Center Creative Agency Koczur Krzysztof,1
 Events Center Creative Agency Koczur Krzysztof, Events Center Creative Agency Koczur Krzysztof,1
 Ever Grupa Sp. z o.o., Ever Grupa Sp. z o.o.,2
 Atos IT Solutions and Services Iberia S.L., Atos IT Solutions and Services Iberia S.L.,2
 Espes Office Sp. z o.o., Espes Office Sp. z o.o.,2
 Espes Office Sp. z o.o., Espes Office Sp. z o.o.,2
 Espes Office Sp. z o.o., Espes Office Sp. z o.o.,2
 New Technology Poland S.A., New Technology Poland S.A.,2
 Art'Impression Catering Sp. z o.o., Wencel Sp. z o.o.,1
 Securitas Polska Sp. z o.o., Securitas Polska Sp. z o.o.,2
 Asseco Poland S.A., Asseco Poland S.A.,1
NA,NA,1
 Diamond-Executive Aviation, Diamond-Executive Aviation,1
 GAF AG, GAF AG,1
 Netcompany IT and Business Consulting A/S, Netcompany IT and Business Consulting A/S,1
 Vagia Tzislaki — Lesvorama General Travel Agency, Vagia Tzislaki — Lesvorama General Travel Agency,1
 Vagia Tzislaki — Lesvorama General Travel Agency, Vagia Tzislaki — Lesvorama General Travel Agency,1
 Adria Congrex srl, Adria Congrex srl,11
 Microsoft Sp. z o.o., Microsoft Sp. z o.o.,2
 BoldBrick s.r.o., Fabrity K2 Sp. z o.o.,5
 BoldBrick s.r.o., IT-Dev Sp. z o.o.,5
 Fabrity K2 Sp. z o.o., IT-Dev Sp. z o.o.,5
 Netcompany IT and Business Consulting A/S, Netcompany IT and Business Consulting A/S,3
 Carmenta AB, Carmenta AB,1
of Agence Gemra, BTCS Sp. z o.o.,2
of Agence Gemra, GTC AMG Sp. z o.o.,2
 BTCS Sp. z o.o., GTC AMG Sp. z o.o.,2
 Asseco Poland SA, Asseco Poland SA,8
 Grafton Recruitment Polska Sp. z o.o., Grafton Recruitment Polska Sp. z o.o.,3
 Zeticon NV, Zeticon NV,2
 Wisag Polska Sp. z o.o., Wisag Polska Sp. z o.o.,1
 Opticoelectron Group, Opticoelectron Group,2
 Opticoelectron Group, Opticoelectron Group,2
of Oktagon Polska Paweł Toffel, AndRee GROUP Andrzej Toffel,2
of Oktagon Polska Paweł Toffel, ADART S.C. led by Oktagon Polska Paweł Toffel,2
 AndRee GROUP Andrzej Toffel, ADART S.C. led by Oktagon Polska Paweł Toffel,2
 e-GEOS SPA, Telespazio France SAS,2
 Israel Aerospace Industries Limited, Malat Division,9
 Leonardo SPA, Leonardo SPA,4
 AS Aircontact, Air Charter Service Limited,30
 AS Aircontact, Air Charter Service Limited,4
 Control system FMN Sp z oo, Control system FMN Sp z oo,1
 Uni Business Centre BV, Nextis services s.r.o.,4
 Uni Business Centre BV, AutoCont CZ a.s.,4
 Uni Business Centre BV, Bechtle direct Polska sp z oo,4
 Nextis services s.r.o., AutoCont CZ a.s.,4
 Nextis services s.r.o., Bechtle direct Polska sp z oo,4
 AutoCont CZ a.s., Bechtle direct Polska sp z oo,4
 Profil nabytek as, Profil nabytek as,2
 Arch sc Mirosława Nowicka Marek Nowicki, Arch sc Mirosława Nowicka Marek Nowicki,1
 MeteoGroup Nederland B.V., MeteoGroup Nederland B.V.,6
 Dotsoft SA, Epsilon Malta Ltd,3
 Asseco Poland SA, ESRI Polska Sp. z o.o.,3
 GeneGIS GI Srl (former GESP Srl), GeneGIS GI Srl (former GESP Srl),3
 BATEX Technische Textilien GmbH, BATEX Technische Textilien GmbH,3
 Pentacomp Systemy Informatyczne S.A., Pentacomp Systemy Informatyczne S.A.,2
 Fabrity K2 Sp. z o.o., Fabrity K2 Sp. z o.o.,2
 Netcompany IT and Business Consulting A/S, Netcompany IT and Business Consulting A/S,2
 SAS Institute Polska Sp. z o.o., SAS Institute Polska Sp. z o.o.,4
 Sunrise Lines E.P.E. (Ltd), Sunrise Lines E.P.E. (Ltd),4
 Pantelopoulos Panagiotis, Pantelopoulos Panagiotis,3
 Samwell Limited, Samwell Limited,3
 InfoCert S.p.A., InfoCert S.p.A.,1
 Polkomtel Sp. z o.o., Polkomtel Sp. z o.o.,4
 SAS Institute Polska Sp. z o.o., SAS Institute Polska Sp. z o.o.,3
 IN-innovative navigation GmbH, IN-innovative navigation GmbH,2
 Andree Group Andrzej Toffel, Decuatro Marketing Promocional S.L.,1
 Andree Group Andrzej Toffel, IGEP SA/NV,1
 Decuatro Marketing Promocional S.L., IGEP SA/NV,1
 DC System Company Sp z oo, DC System Company Sp z oo,3
 Asseco Poland SA, Asseco Poland SA,14
 Ricardo Nederland BV, Ricardo-AEA Ltd,2
 Fleischhacker GmbH and Co. KG, Fleischhacker GmbH and Co. KG,1
 Art’ Impression Catering Sp. z o.o., Art’ Impression Catering Sp. z o.o.,4
 Car Master 2 sp. z o.o. sp.k., Car Master 2 sp. z o.o. sp.k.,3
 Pomilio Blumm SRL, Pomilio Blumm SRL,21
 Jarosław Sztobryn Prooffice, Jarosław Sztobryn Prooffice,2
 Regula Baltija Ltd, Regula Baltija Ltd,3
 Regula Baltija Ltd, Regula Baltija Ltd,2
 GMV Aerospace and Defence SAU, GMV Aerospace and Defence SAU,21
 ZRB Walko Waldemar Koński, ZRB Walko Waldemar Koński,1
 Opticoelectron Group JSCo, Opticoelectron Group JSCo,1
 Windward Ltd, Windward Ltd,2
 Bene Warszawa Sp ZOO, Bene Warszawa Sp ZOO,8
 Espes Office Sp ZOO, Espes Office Sp ZOO,2
 Bene Warszawa Sp ZOO, Bene Warszawa Sp ZOO,1
 Diamond-Executive Aviation Ltd, Diamond-Executive Aviation Ltd,25
 CAE Aviation Sarl, CAE Aviation Sarl,25
 EASP Air BV, EASP Air BV,25
 Indra Sistemas SA, Indra Sistemas SA,25
 City & Guilds of London Institute, City & Guilds of London Institute,3
 Optexim AD, Optexim AD,1
 OPTIX JSC, OPTIX JSC,3
 CAE Aviation, DEA Aviation,12
 CAE Aviation, EASP Air BV,12
 DEA Aviation, EASP Air BV,12
 Opticoelectron Group JSCo, Opticoelectron Group JSCo,8
 Instytut Systemów Bezpieczeństwa Sp. z o.o., ClanTect Ltd,2
 Hawkeye 360, Inc.,3
 Brill AV Media Sp z oo, Brill AV Media Sp z oo,1
 Lazaris A. Gomos D. OE, Lazaris A. Gomos D. OE,4
 Softwin SRL, Intrasoft International S.A.,2
 Softwin SRL, Pecka Studio s.r.o.,2
 Intrasoft International S.A., Pecka Studio s.r.o.,2
 Kaliszuk sp j staff partners, Outworking SA,9
 Kaliszuk sp j staff partners, Grafton Recruitment Sp z oo,9
 Kaliszuk sp j staff partners, GI Group Sp z oo,9
 Outworking SA, Grafton Recruitment Sp z oo,9
