id,year,contracting_authority_official_name,contracting_authority_country,contracting_authority_nut,contracting_authority_main_activity,object_title,object_type,object_description,object_total_value,cpv,award_criteria,procedure_type,url
283535-2021,2021,European Border and Coast Guard Agency (FRONTEX),Poland,PL911 Miasto Warszawa,General public services,Framework Contract for Provision of Personal Protective Equipment (PPE) and Sanitary Items,Supplies,,60 580 000.00 EUR,"33000000 Medical equipments, pharmaceuticals and personal care products",Quality criterion - Name: As stated in the procurement documents / Weighting: 60 %,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:283535-2021:TEXT:EN:HTML&src=0
234545-2021,2021,European Border and Coast Guard Agency (FRONTEX),Poland,PL911 Miasto Warszawa,General public services,Purchase of Drones and Payloads,Supplies,,2 000 000.00 EUR,35125000 Surveillance system,Price,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:234545-2021:TEXT:EN:HTML&src=0
226849-2021,2021,European Border and Coast Guard Agency — Frontex,Poland,PL911 Miasto Warszawa,General public services,Framework Contract for the Provision of Facility Management-related Services,Services,,NA,70330000 Property management services of real estate on a fee or contract basis,Quality criterion - Name: Technical merit / Weighting: 60,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:226849-2021:TEXT:EN:HTML&src=0
174119-2021,2021,European Border and Coast Guard Agency (Frontex),Poland,PL911 Miasto Warszawa,General public services,Provision of Research and Innovation Assistance and Advisory Services,Services,,4 500 000.00 EUR,73000000 Research and development services and related consultancy services,Quality criterion - Name: Technical merit / Weighting: 70,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:174119-2021:TEXT:EN:HTML&src=0
170109-2021,2021,Frontex,Poland,PL Polska,Public order and safety,Purchase of Multifunctional Scanning Peripherals,Supplies,,1 000 000.00 EUR,35120000 Surveillance and security systems and devices,Quality criterion - Name: Technical award criteria indicated in the tender specifications / Weighting: 0.4,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:170109-2021:TEXT:EN:HTML&src=0
158704-2021,2021,Frontex,Poland,PL911 Miasto Warszawa,General public services,Leasing or Long-term Lease of Vehicles and Associated Services for Frontex Operational Activities,Supplies,,5 000 000.00 EUR,34110000 Passenger cars,Quality criterion - Name: Delivery lead time / Weighting: 30,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:158704-2021:TEXT:EN:HTML&src=0
135084-2021,2021,European Border and Coast Guard Agency — Frontex,Poland,PL911 Miasto Warszawa,General public services,Entry Exit System Land Border Pilot,Services,,1 500 000.00 EUR,73000000 Research and development services and related consultancy services,Quality criterion - Name: Technical merit / Weighting: 60,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:135084-2021:TEXT:EN:HTML&src=0
103858-2021,2021,Frontex,Poland,PL911 Miasto Warszawa,General public services,Framework Contract for the Provision of Fuel Cards Services and Associated Services for Frontex Vehicles,Services,,NA,79900000 Miscellaneous business and business-related services,Price,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:103858-2021:TEXT:EN:HTML&src=0
101568-2021,2021,FRONTEX,Poland,PL911 Miasto Warszawa,General public services,Single Framework Contract for Satellite Imagery Provisioning,Services,,4 000 000.00 EUR,79714000 Surveillance services,Quality criterion - Name: As listed in Tender Specifications / Weighting: 60 %,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:101568-2021:TEXT:EN:HTML&src=0
057192-2021,2021,Frontex,Poland,PL POLSKA,Public order and safety,Cisco Advanced Services,Services,,300 000.00 EUR,"72000000 IT services: consulting, software development, Internet and support",Price,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:057192-2021:TEXT:EN:HTML&src=0
