id_contract,source,target,weight,weight_scale
410436-2020, Intrasoft International SA, Intrasoft International SA,187000000.0,62
410436-2020,Atos,Atos,187000000.0,62
410436-2020,European Dynamics,European Dynamics,187000000.0,62
410436-2020,Sopra Steria, Everis Belgique SPRL,187000000.0,62
410436-2020, ARHS Developments SA , Sword Technologies SA,187000000.0,62
314969-2020, 365JP OÜ, 365JP OÜ,127060.0,1
200083-2020,Idemia,Sopra Steria,302550000.0,100
170115-2020, Unisys Belgium SA, PwC EU Services EESV,12001600.0,5
170115-2020, Unisys Belgium SA, UniSystems Information Technology Systems Commercial SMSA,12001600.0,5
170115-2020, PwC EU Services EESV, UniSystems Information Technology Systems Commercial SMSA,12001600.0,5
596080-2019,Infeurope SA,Infeurope SA,5465500.0,3
596080-2019, Civitta Eesti AS, Advokaadiburoo Sorainen AS,5465500.0,3
596080-2019, Vector Synergy Spolka z Ograniczona Odpowiedzianoscia, Vector Synergy Spolka z Ograniczona Odpowiedzianoscia,5465500.0,3
596077-2019, Unisys Belgium SA, PwC EU Services EESV,44960400.0,16
596077-2019, Unisys Belgium SA, UniSystems Information Technology Systems Commercial SMSA,44960400.0,16
596077-2019, PwC EU Services EESV, UniSystems Information Technology Systems Commercial SMSA,44960400.0,16
596077-2019, CGITI Portugal SA, CGITI Portugal SA,44960400.0,16
596077-2019, Engineering Ingegneria Informatica S.p.A., Engineering Ingegneria Informatica S.p.A.,44960400.0,16
596076-2019,Infeurope SA,Infeurope SA,13632816.0,5
596076-2019, Civitta Eesti AS, Advokaadiburoo Sorainen AS,13632816.0,5
596076-2019, Vector Synergy Spolka z Ograniczona Odpowiedzianoscia, Vector Synergy Spolka z Ograniczona Odpowiedzianoscia,13632816.0,5
593676-2019,Infeurope SA,Infeurope SA,2500000.0,2
526594-2019,ELIN GmbH,ELIN GmbH,2500000.0,2
439743-2019, Qvalitas Arstikeskus AS, Qvalitas Arstikeskus AS,200000.0,1
414490-2019, SPIE Facilities, SPIE Facilities,3500000.0,2
375801-2019, ES Energies Strasbourg, ES Energies Strasbourg,350000.0,1
373924-2019, Securitas France Sarl, Securitas France Sarl,4000000.0,2
