id,source,target,weight
563114-2020, Bechtle Brussels NV, Bechtle Brussels NV,69564.0
542061-2020, CAE Aviation, CAE Aviation,3750000.0
542061-2020, DEA Aviation, DEA Aviation,3750000.0
520760-2020, Cambridge School of English Sp. z o.o., Cambridge School of English Sp. z o.o.,424000.0
520760-2020, Cambridge School of English Sp. z o.o., Cambridge School of English Sp. z o.o.,76000.0
492276-2020, DSV Air and Sea Sp.Zo.o, Pol-Mare Sp.Zo.o,1000000.0
492276-2020, DSV Air and Sea Sp.Zo.o, Maxi Cargo Sp.Zo.o,1000000.0
492276-2020, Pol-Mare Sp.Zo.o, Maxi Cargo Sp.Zo.o,1000000.0
473318-2020, Sicurtransport, Sicurtransport,672067.2
473315-2020, Airbus DS Airborne Solutions GmbH, Elbit Systems Ltd,50000000.0
473315-2020, Airbus DS Airborne Solutions GmbH, Advanced Technology Center,50000000.0
473315-2020, Elbit Systems Ltd, Advanced Technology Center,50000000.0
200085-2020, Air Charter Service GmbH, AS Aircontact,10000000.0
200085-2020, Air Charter Service GmbH, Air Partner International GmbH,10000000.0
200085-2020, Air Charter Service GmbH, Professional Aviation Solutions GmbH,10000000.0
200085-2020, AS Aircontact, Air Partner International GmbH,10000000.0
200085-2020, AS Aircontact, Professional Aviation Solutions GmbH,10000000.0
200085-2020, Air Partner International GmbH, Professional Aviation Solutions GmbH,10000000.0
175550-2020, Korporacja Wschód Sp. z o.o., Optix SA,12000000.0
162977-2020, International SOS (Belgium) SPRL, International SOS (Belgium) SPRL,1350000.0
127371-2020, Dat-Con d.o.o., Opticoelectron Group JSCo,8000000.0
125034-2020, Opticoelectron Group JSCo, Dat-Con d.o.o.,8000000.0
086445-2020, The Bridge – English Language Centre s.r.o., The Bridge – English Language Centre s.r.o.,200000.0
078764-2020, Centro Informazione e Educazione Allo Sviluppo Onlus, Centro Informazione e Educazione Allo Sviluppo Onlus,25000000.0
074109-2020, EDISOFT-Empresa de Servicos e Desenvolvimento de Software, S.A.,253000.0
050127-2020, CAE Aviation, DEA Aviation,6750000.0
050127-2020, CAE Aviation, EASP Air BV,6750000.0
050127-2020, DEA Aviation, EASP Air BV,6750000.0
611288-2019, Opticoelectron Group JSCo, Opticoelectron Group JSCo,4000000.0
611273-2019, Instytut Systemów Bezpieczeństwa Sp. z o.o., ClanTect Ltd,400000.0
