contractors_clean,value_contracts_sum,number_contracts,latitude,longitude,address
Adria Congrex srl,6000000,1,44.0653097,12.5290553,"via Sassonia 30, Rimini RN, Italy"
Air Charter Service GmbH,10000000,1,50.118167,8.671948,"An der Welle 5, Frankfurt, Germany"
Air Charter Service Ltd,23000000,2,51.3882451,-0.2995258,"171-185 Ewell Road, Surbiton, United Kingdom"
Air Partner International GmbH,10000000,1,48.2058488,16.392945,"Rasumofskygasse 4/16, Vienna, Austria"
Airborne Technologies GmbH,3750000,2,47.8452176,16.2535766,"Viktor Lang Strasse 8, Wiener Neustadt, Austria"
Airbus DS Airborne Solutions GmbH,50000000,1,53.066469,8.775593,"Richard-Dunkel-Strasse 121, Bremen, Germany"
Andree Group Andrzej Toffel,200000,1,52.475529,16.654996,"Sadowa 33H, Walendow, Poland"
Arch sc Mirosława Nowicka Marek Nowicki,180000,1,50.2584414,18.9916943,"Żeliwna 43, Katowice, Poland"
Art'Impression Catering Sp. z o.o.,2137148,2,52.1117,20.98705,"Karczunkowska 170, Warsaw, Poland"
AS Aircontact,33000000,3,59.921166,10.681725,"Karenslyst Alle 49, Oslo, Norway"
Asseco Poland SA,13501971.67,4,50.0512776,22.0312744,"Ul.Olchowa 14, Rzeszow, Poland"
Atos IT Solutions and Services Iberia S.L.,578378.35,1,40.59695,-3.718245,"Ronda de Europa, 5, Tres Cantos (Madrid), Spain"
AutoCont CZ a.s.,2000000,1,49.841032,18.271347,"Hornopolni 3322/34, Ostrava, Czechia"
BATEX Technische Textilien GmbH,1120000,1,51.152068,14.021445,"OT Bretnig, Großröhrsdorf, Germany"
Bechtle Brussels NV,69564,1,51.1984715,5.4630215,"Peerderbaan 207, Pelt, Belgium"
Bechtle direct Polska sp z oo,2000000,1,51.084431,17.071174,"Krakowska 119, Wroclaw, Poland"
Belvedere — Cafe Łazienki Królewskie Sp. z o.o.,88710.6,1,52.2162221,21.0344174,"ul. Agrykoli 1, Warsaw, Poland"
Bene Warszawa Sp ZOO,4700000,1,52.184174,21001,"Wołoska 9A, Warsaw, Poland"
BoldBrick s.r.o.,2650000,1,50.0598058,14.3255403,"Prague, Czechia"
Brill AV Media Sp z oo,220000,1,52.224503,20.972485,"Kolejowa 9/11, Warsaw, Poland"
CAE Aviation,81000000,8,49.6289037,6.2125559,"Luxembourg International Airport, Luxembourg, Luxembourg"
Cambridge School of English Sp. z o.o.,500000,1,52.237695,21.005427,"Warsaw, Poland"
Car Master 2 sp. z o.o. sp.k.,2000000,2,50.1013084,19.8859833,"Jasnogórska 97, Kraków, Poland"
Carmenta AB,222285,2,59.329426,18.029043,"Sankt Eriksgatan 5, Gotenborg, Sweden"
Centro Informazione e Educazione Allo Sviluppo Onlus,25000000,1,41.8916342,12.49972,"Via Merulana 198, Rome, Italy"
City & Guilds of London Institute,1400000,1,51.509648,-0.099076,"London, United Kingdom"
ClanTect Ltd,400000,1,50.935075,-1.396328,"University Road, Building 37, Southampton, United Kingdom"
Control system FMN Sp z oo,190000,1,46.2767429,15.0670903,"Al. KEN 96 U 15, Warsaw, Poland"
Dat-Con d.o.o.,16000000,2,46.277136,15.072471,"Cvetlicna ulica 52, Polzela, Slovenia"
DC System Company Sp z oo,1200000,1,52.242392,21.137144,"Marsa 56a, Warsaw, Poland"
DEA Aviation,81000000,8,53.280602,-0.951389,"Retford Gamston Airport, Retford, United Kingdom"
Decuatro Marketing Promocional S.L.,200000,1,41.6193199,-4.7510448,"C/Vinos Ribera del Duero,7 1ºB, Valladolid, Spain"
Defacto Sp z oo,6000000,1,52.1732918,21.070945,"ul. Królowej Marysieńki 46, Warsaw, Poland"
Diamond-Executive Aviation,270000,1,53.280602,-0.951389,"Retford Gamston Airport, Retford, Nottinghamshire, United Kingdom"
Dotsoft SA,1100000,1,40.656485000000004,22.937343,"Thessaloniki, Greece"
DSV Air and Sea Sp.Zo.o,1000000,1,52.204088,20.800736,"Ozarowska 40/42, Ożarów Mazowiecki, Poland"
e-GEOS SPA,369000,1,40.50014,16.453709,"Localita Terlecchie SNC, Matera, Italy"
EASP Air BV,71000000,4,52.313142,4.80666,"Thermiekstraat 52, Schiphol, Netherlands"
"EDISOFT-Empresa de Servicos e Desenvolvimento de Software, S.A.",253000,1,38.709208,9.292108,"Rua Calvet de Magalhaes 245, Paco de Arcos, Portugal"
"Elbit Systems Ltd, Advanced Technology Center",50000000,1,32.487233,34.974092,"P.O. Box 539, Haifa, Israel"
Epsilon Malta Ltd,1100000,1,35.8991473,14.4744445,"Swatar, Malta"
Espes Office Sp. z o.o.,1754825,4,52.102641,21.165955,"Opacz- Kolonia, ul. Ewy 4, Michałowice Osiedle, Poland"
ESRI Polska,1329719.63,2,52.254804,20.998334,"Bonifraterska 17, Warsaw, Poland"
eTravel SA,50000000,2,52.2194003,20.9656035,"Al. Jerozolimskie 142B, Warsaw, Poland"
Events Center Creative Agency Krzysztof Koczur,131702.472,3,52.4076554,16.9060336,"ul. Zeylanda 3/9, Poznań, Poland"
Ever Grupa Sp. z o.o.,530000,1,52.283251,20.904399,"Arkuszowa 39, Warsaw, Poland"
Fabrity K2 Sp. z o.o.,3250000,2,52.237695,21.005427,"Warsaw, Poland"
Fleischhacker GmbH and Co. KG,180000,1,51.458768,7.621675,"An der Silberkuhle 18, Schwerte, Germany"
Fly4Less Kft,3750000,2,47.475905,19.068807,"Lechner Odon fasor 3, Budapest, Hungary"
GAF AG,228600,1,48.149391,11.522472,"Arnulfstraße 199, München, Germany"
GeneGIS GI Srl (former GESP Srl),1100000,1,45.473702,9.170685,"Milan MI, Italy"
GI Group Sp z oo,5000000,1,50.2618583,19.0094138,"Sobieskiego 11, Katowice, Poland"
GMV Aerospace and Defence SAU,24000000,2,40.5912849,-3.708811,"C/ Isaac Newton 11, PTM Tres Cantos,, Madrid, Spain"
Grafton Recruitment Sp z oo,6500000,2,52.23172,21.002043,"Sienna 39, Warsaw, Poland"
GTC AMG sp. z o.o.,700000,1,52.174336,21.025769,"Rolna 155A, Warsaw, Poland"
"Hawkeye 360, Inc.",1507005,1,38.964422,-77.383146,"196 Van Buren Street, Suite 450, VA, 20170, Herndon, United States"
IGEP SA/NV,200000,1,50.835236,4.371887,"rue du Trône 161, Brussels, Belgium"
IN-innovative navigation GmbH,481600,1,48.869444,9.200403,"Leibnizstrasse 11, Kornwestheim, Germany"
Indra Sistemas SA,14500000,1,40.529023,-3.641451,"Avenida de Bruselas, 35, Madrid, Spain"
InfoCert S.p.A.,234035,1,41.878243,12.52809,"Rome (RM), Italy"
Ingeniería de Sistemas para la Defensa de España SA,74251.59,1,40.4480504,-3.7170149,"Beatriz de Bobadilla Street, Madrid (Madrid), Spain"
Instytut Systemów Bezpieczeństwa Sp. z o.o.,400000,1,52.174233,21.059657,"Mesyńska 16, Warsaw, Poland"
International SOS (Belgium) SPRL,1350000,1,50.8914682,4.3405239,"Heyzel Esplanade 1, B007, Brussels, Belgium"
Intrasoft International S.A.,800000,1,49.604894,6.086163,"2b rue Nicolas Bove, Luxembourg, Luxembourg"
"Israel Aerospace Industries Ltd, Malat Division",4750000,1,30.85154,34.7834,"Ben Gurion International Airport, Israel"
IT-Dev Sp. z o.o.,2650000,1,51.097349,17.023978,"Wrocław, Poland"
ITC — Interpreti e Traduttori in Cooperativa Societa' Cooperativa,25000000,1,41.8856359,12.5096182,"Via La Spezia 6, Rome, Italy"
Jarosław Sztobryn Prooffice,720000,1,52.178828,20.936006,"Muszkieterów 15a, Warsaw, Poland"
Kaliszuk sp j staff partners,5000000,1,52.236669,21.050127,"Finlandzka 5/5, Warsaw, Poland"
Korporacja Wschód Sp. z o.o.,12000000,1,52.207544,21.1731615,"Pozaryskiego 28, Warsaw, Poland"
Lazaris A. Gomos D. OE,1640000,1,39.1046629,26.5573016,"P. Kountourioti 87, Mitilini, Greece"
Leonardo SPA,1697000,1,41.9185924,12.4666987,"Piazza Monte Grappa 4, Rome, Italy"
Maxi Cargo Sp.Zo.o,1000000,1,52.40283,17.07239,"Nowowiejska 28, Swarzedz, Poland"
MeteoGroup Nederland B.V.,3200000,1,51.976364,5.646532,"Agro Business Park 99–101, Wageningen, Netherlands"
MeteoGroup Polska Sp. z o.o.,1620000,2,52.2445849,21.0978906,"ul. Serocka 10, Warsaw, NA"
Microsoft Sp. z o.o.,311888.5,1,52.201763,20.938333,"Aleje Jerozolimskie 195a, Warsaw, Poland"
Netcompany IT and Business Consulting A/S,1905917.32,3,55.689618,12.590014,"Gronningen 17, Copenhagen, Denmark"
New Technology Poland S.A.,325120,1,52.217017,20.974752,"Lelechowska 10, Warszawa, Poland"
Nextis services s.r.o.,2000000,1,49.77905,18.269804,"Krmelinska 934/4, Ostrava, Czechia"
Nord Partner sp. z o.o.,200000,1,53.01467,18.631578,"Lubicka 16, Torun, Poland"
Oktagon Polska Pawel Toffel,400000,1,52.0819984,20.839053,"Walendów, Poland"
Optexim AD,100000,1,42.685984,23.326714,"Sofia, Bulgaria"
Opticoelectron Group,21150000,6,42.66826,23.46181,"Industrial Park ‘Opticoelectron’, Panagyurishte, Bulgaria"
Optix SA,13250000,2,42.6928179,23.3333809,"Kliment Ohridski Bled blok 19, Sofia, Bulgaria"
Outworking SA,5000000,1,52.3871812,16.9151022,"Langiewicza 2/10, Poznan, Poland"
Pantelopoulos Panagiotis,1000000,1,39.107887,26.555618,"Chrysanthou Thermioti 1, Mitilini, Greece"
Pecka Studio s.r.o.,800000,1,50.055505,14.442599,"Na Jerezce 1199/7, Praha 4, Czechia"
Pentacomp Systemy Informatyczne S.A.,600000,1,52.237695,21.005427,"Warsaw, Poland"
Pinpoint Corporate Services Ltd,25000000,1,51.5142539,-0.1256931,"90 Longacre Covent Garden, London, United Kingdom"
Pol-Mare Sp.Zo.o,1000000,1,54.533127,18.5155672,"Czechoslowacka 3, Gdynia, Poland"
Polkomtel Sp. z o.o.,1969968,1,52.185516,20.995774,"Konstruktorska 4, Warsaw, Poland"
Pomilio Blumm SRL,12000000,1,42.46522,14.2102033,"Via Venezia 4, Pescara, Italy"
Professional Aviation Solutions GmbH,10000000,1,50.948693,7.107141,"Lustheide 85, Bergisch Gladbach, Germany"
